index,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year
449,S,Lassen High,Lassen Union High,Lassen,220,69,499,500,478,34,49.28,1516
450,D,,Ravendale-Termo Elementary,Lassen,66,6,,,,,,1516
451,S,New Day Academy,Ravendale-Termo Elementary,Lassen,18,4,,,,,,1516
452,S,Long Valley Charter,Ravendale-Termo Elementary,Lassen,48,2,,,,,,1516
453,D,,Westwood Unified,Lassen,60,2,,,,,,1516
454,S,Westwood Charter,Westwood Unified,Lassen,53,1,,,,,,1516
455,S,Westwood High,Westwood Unified,Lassen,7,1,,,,,,1516
456,D,,Fort Sage Unified,Lassen,39,0,,,,,,1516
457,S,Mt. Lassen Charter,Fort Sage Unified,Lassen,19,0,,,,,,1516
458,S,Herlong High,Fort Sage Unified,Lassen,20,0,,,,,,1516
459,C,,,Los Angeles,121303,60458,460,471,457,20306,33.59,1516
460,D,,Los Angeles County Office of Education,Los Angeles,1537,314,514,501,510,167,53.18,1516
461,S,Los Angeles International Charter High,Los Angeles County Office of Education,Los Angeles,60,62,412,440,431,13,20.97,1516
462,S,Optimist Charter,Los Angeles County Office of Education,Los Angeles,42,0,,,,,,1516
463,S,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,161,124,574,532,567,89,71.77,1516
464,S,Alternative Opportunity Programs,Los Angeles County Office of Education,Los Angeles,76,0,,,,,,1516
465,S,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,130,115,516,518,508,65,56.52,1516
466,S,Soledad Enrichment Action Charter High,Los Angeles County Office of Education,Los Angeles,168,13,,,,,,1516
467,D,,ABC Unified,Los Angeles,1714,883,514,546,512,490,55.49,1516
468,S,Cerritos High,ABC Unified,Los Angeles,530,362,530,570,526,242,66.85,1516
469,S,Artesia High,ABC Unified,Los Angeles,355,132,439,472,435,34,25.76,1516
470,S,Tracy (Wilbur) High (Continuation),ABC Unified,Los Angeles,175,2,,,,,,1516
471,S,Whitney (Gretchen) High,ABC Unified,Los Angeles,156,136,639,683,647,134,98.53,1516
472,S,Gahr (Richard) High,ABC Unified,Los Angeles,428,250,462,476,460,79,31.6,1516
473,S,ABC Secondary (Alternative),ABC Unified,Los Angeles,44,1,,,,,,1516
474,D,,Antelope Valley Union High,Los Angeles,6805,1862,457,447,444,502,26.96,1516
475,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,666,281,444,432,439,61,21.71,1516
476,S,Eastside High,Antelope Valley Union High,Los Angeles,497,247,428,415,414,38,15.38,1516
477,S,SOAR High (Students On Academic Rise),Antelope Valley Union High,Los Angeles,89,85,516,511,497,43,50.59,1516
